Class Name,Accuracy
apple_pie,55.6
baby_back_ribs,90.0
baklava,83.6
beef_carpaccio,92.4
beef_tartare,79.6
beet_salad,73.6
beignets,90.4
bibimbap,92.8
bread_pudding,82.8
breakfast_burrito,76.0
bruschetta,77.2
caesar_salad,93.2
cannoli,90.0
caprese_salad,84.8
carrot_cake,86.4
ceviche,66.8
cheese_plate,92.4
cheesecake,72.8
chicken_curry,77.2
chicken_quesadilla,88.0
chicken_wings,94.8
chocolate_cake,74.8
chocolate_mousse,75.6
churros,87.2
clam_chowder,86.8
club_sandwich,91.6
crab_cakes,85.6
creme_brulee,91.6
croque_madame,88.8
cup_cakes,75.2
deviled_eggs,92.4
donuts,88.4
dumplings,92.8
edamame,99.2
eggs_benedict,91.2
escargots,86.8
falafel,79.6
filet_mignon,73.2
fish_and_chips,93.2
foie_gras,76.4
french_fries,93.6
french_onion_soup,85.2
french_toast,78.4
fried_calamari,90.0
fried_rice,89.2
frozen_yogurt,96.8
garlic_bread,82.0
gnocchi,77.2
greek_salad,78.8
grilled_cheese_sandwich,75.6
grilled_salmon,81.2
guacamole,92.0
gyoza,74.8
hamburger,78.0
hot_and_sour_soup,93.2
hot_dog,93.2
huevos_rancheros,87.2
hummus,76.8
ice_cream,76.8
lasagna,75.6
lobster_bisque,92.4
lobster_roll_sandwich,95.6
macaroni_and_cheese,76.8
macarons,96.0
miso_soup,90.0
mussels,91.2
nachos,88.8
omelette,87.6
onion_rings,89.6
oysters,99.2
pad_thai,96.4
paella,89.2
pancakes,92.0
panna_cotta,85.2
peking_duck,76.0
pho,93.6
pizza,95.6
pork_chop,53.6
poutine,88.4
prime_rib,78.8
pulled_pork_sandwich,93.2
ramen,80.8
ravioli,57.2
red_velvet_cake,91.6
risotto,78.4
samosa,82.8
sashimi,92.8
scallops,69.2
seaweed_salad,96.4
shrimp_and_grits,87.2
spaghetti_bolognese,94.4
spaghetti_carbonara,96.8
spring_rolls,90.4
steak,50.0
strawberry_shortcake,86.8
sushi,88.0
tacos,84.4
takoyaki,90.0
tiramisu,73.2
tuna_tartare,62.8
waffles,91.6
