savename=equal_number_filtering_equal_number; dataset=imagenet; k=5; shot=64; mode=filtered_equal_number; reps=5; model_size=ViT-B/32,65.58240056037903,0.02530965298491327,65.63199758529663,65.56199789047241,89.90800023078918,0.014422779946399142,89.92400169372559,89.8859977722168
savename=equal_number_filtering_equal_number; dataset=imagenetv2; k=5; shot=64; mode=filtered_equal_number; reps=5; model_size=ViT-B/32,57.368000745773315,0.11496002989686281,57.53999948501587,57.200002670288086,84.25600171089172,0.06529977728739507,84.3500018119812,84.20000076293945
savename=equal_number_filtering_equal_number; dataset=caltech256; k=5; shot=32; mode=filtered_equal_number; reps=5; model_size=ViT-B/32,83.47598910331726,0.042090253319420144,83.51845741271973,83.4041178226471,95.20091414451599,0.23224950496030367,95.42633295059204,94.75661516189575
savename=equal_number_filtering_equal_number; dataset=cifar100; k=5; shot=64; mode=filtered_equal_number; reps=5; model_size=ViT-B/32,64.08400058746338,0.09478422364359489,64.24000263214111,63.95000219345093,87.91200041770935,0.05912800306241743,87.9800021648407,87.83000111579895
savename=equal_number_filtering_equal_number; dataset=cub; k=5; shot=16; mode=filtered_equal_number; reps=5; model_size=ViT-B/32,56.37556076049805,0.08356116545399467,56.472212076187134,56.23058080673218,87.36624002456665,0.059788725246368565,87.45253682136536,87.29720115661621
savename=equal_number_filtering_equal_number; dataset=eurosat; k=5; shot=64; mode=filtered_equal_number; reps=5; model_size=ViT-B/32,48.96296262741089,0.0,48.96296262741089,48.96296262741089,92.79629588127136,0.0,92.79629588127136,92.79629588127136
savename=equal_number_filtering_equal_number; dataset=places365; k=5; shot=64; mode=filtered_equal_number; reps=5; model_size=ViT-B/32,43.965479135513306,0.03281221518585529,44.00821924209595,43.92602741718292,74.88821864128113,0.11651354558686215,75.06575584411621,74.72602725028992
savename=equal_number_filtering_equal_number; dataset=food101; k=5; shot=64; mode=filtered_equal_number; reps=5; model_size=ViT-B/32,84.37148451805115,0.07300079460410713,84.44356322288513,84.25742387771606,97.42811799049377,0.03356957774183577,97.47326970100403,97.37425446510315
savename=equal_number_filtering_equal_number; dataset=pets; k=5; shot=64; mode=filtered_equal_number; reps=5; model_size=ViT-B/32,84.86236095428467,0.19998967894034722,85.22758483886719,84.62796211242676,99.50395107269287,0.05284900734709844,99.53665733337402,99.40038323402405
savename=equal_number_filtering_equal_number; dataset=dtd; k=5; shot=32; mode=filtered_equal_number; reps=5; model_size=ViT-B/32,53.7978732585907,0.12854398394553385,53.936171531677246,53.61701846122742,85.542551279068,0.38415875354099743,85.90425252914429,84.8936140537262
savename=equal_number_filtering_equal_number; dataset=flowers102; k=5; shot=8; mode=filtered_equal_number; reps=5; model_size=ViT-B/32,73.43632936477661,0.16508100370772524,73.70303869247437,73.29646944999695,90.60334920883179,0.07006330936650398,90.6651496887207,90.46999216079712
savename=equal_number_filtering_equal_number; dataset=fgvcaircraft; k=5; shot=32; mode=filtered_equal_number; reps=5; model_size=ViT-B/32,28.12481164932251,0.16168273066581673,28.382837772369385,27.872785925865173,68.26882719993591,0.20135598348909017,68.55685710906982,67.98679828643799
savename=equal_number_filtering_equal_number; dataset=cars; k=5; shot=16; mode=filtered_equal_number; reps=5; model_size=ViT-B/32,59.654271602630615,0.22112781242967802,60.0547194480896,59.45777893066406,91.14786624908447,0.10416792831613982,91.30704998970032,91.03345274925232
