savename=filter_existing_method; dataset=imagenet; k=5; shot=64; mode=filtered_dclip; reps=5; model_size=ViT-B/32,64.28599953651428,0.04124022327801988,64.32600021362305,64.2300009727478,89.13040041923523,0.01915946610180549,89.16000127792358,89.0999972820282
savename=filter_existing_method; dataset=imagenetv2; k=5; shot=64; mode=filtered_dclip; reps=5; model_size=ViT-B/32,56.45000100135803,0.08671747694878564,56.610000133514404,56.370002031326294,83.42200040817261,0.0699720279494636,83.56000185012817,83.37000012397766
savename=filter_existing_method; dataset=caltech256; k=5; shot=32; mode=filtered_dclip; reps=5; model_size=ViT-B/32,81.23162388801575,0.050609147222377755,81.31329417228699,81.1826229095459,94.590003490448,0.04550341996604754,94.67494487762451,94.54426765441895
savename=filter_existing_method; dataset=cifar100; k=5; shot=64; mode=filtered_dclip; reps=5; model_size=ViT-B/32,63.86399984359741,0.13980114049481032,64.06000256538391,63.690000772476196,88.25200080871582,0.09579125718747042,88.38000297546387,88.15000057220459
savename=filter_existing_method; dataset=cub; k=5; shot=16; mode=filtered_dclip; reps=5; model_size=ViT-B/32,54.21815633773804,0.1153153893480531,54.3665885925293,54.055917263031006,85.68174123764038,0.06869189573472771,85.79565286636353,85.588538646698
savename=filter_existing_method; dataset=eurosat; k=5; shot=64; mode=filtered_dclip; reps=5; model_size=ViT-B/32,42.77777671813965,0.0,42.77777671813965,42.77777671813965,91.4814829826355,0.0,91.4814829826355,91.4814829826355
savename=filter_existing_method; dataset=places365; k=5; shot=64; mode=filtered_dclip; reps=5; model_size=ViT-B/32,42.57698595523834,0.07932160551043838,42.68493056297302,42.454794049263,73.37260246276855,0.047326084198218904,73.41643571853638,73.30958843231201
savename=filter_existing_method; dataset=food101; k=5; shot=64; mode=filtered_dclip; reps=5; model_size=ViT-B/32,83.61504793167114,0.03392056322172542,83.67920517921448,83.58019590377808,97.04316973686218,0.010509989102703165,97.05346822738647,97.02574014663696
savename=filter_existing_method; dataset=pets; k=5; shot=64; mode=filtered_dclip; reps=5; model_size=ViT-B/32,85.03134489059448,0.0918629471273478,85.1458191871643,84.87326502799988,99.24775123596191,0.04752196109751393,99.31861758232117,99.18233752250671
savename=filter_existing_method; dataset=dtd; k=5; shot=32; mode=filtered_dclip; reps=5; model_size=ViT-B/32,46.12765967845917,0.11358651705720628,46.27659618854523,45.95744609832764,76.52127623558044,0.2640369324829299,76.91489458084106,76.27659440040588
savename=filter_existing_method; dataset=flowers102; k=5; shot=8; mode=filtered_dclip; reps=5; model_size=ViT-B/32,67.88095712661743,0.08292553602647196,67.99479722976685,67.7508533000946,86.42055630683899,0.05244627042506459,86.48560643196106,86.33924126625061
savename=filter_existing_method; dataset=fgvcaircraft; k=5; shot=32; mode=filtered_dclip; reps=5; model_size=ViT-B/32,28.14881443977356,0.1206113727744396,28.262826800346375,27.96279489994049,66.98469877243042,0.04490526841283322,67.02670454978943,66.90669059753418
savename=filter_existing_method; dataset=cars; k=5; shot=16; mode=filtered_dclip; reps=5; model_size=ViT-B/32,59.63188648223877,0.14985656742339962,59.83086824417114,59.38315987586975,91.22497320175171,0.050116737339551534,91.29461646080017,91.15781784057617
