savename=baselines; dataset=imagenetv2; mode=clip; model_size=ViT-L/14,67.90000200271606,0.0,67.90000200271606,67.90000200271606,89.52999711036682,0.0,89.52999711036682,89.52999711036682
savename=baselines; dataset=imagenet; mode=clip; model_size=ViT-L/14,73.3739972114563,0.0,73.3739972114563,73.3739972114563,93.35799813270569,0.0,93.35799813270569,93.35799813270569
savename=baselines; dataset=eurosat; mode=clip; model_size=ViT-L/14,56.029629707336426,0.0,56.029629707336426,56.029629707336426,92.51852035522461,0.0,92.51852035522461,92.51852035522461
savename=baselines; dataset=imagenetv2; mode=clip; model_size=ViT-L/14,67.90000200271606,0.0,67.90000200271606,67.90000200271606,89.52999711036682,0.0,89.52999711036682,89.52999711036682
savename=baselines; dataset=imagenet; mode=clip; model_size=ViT-L/14,73.3739972114563,0.0,73.3739972114563,73.3739972114563,93.35799813270569,0.0,93.35799813270569,93.35799813270569
savename=baselines; dataset=imagenetv2; mode=clip; model_size=ViT-L/14,67.90000200271606,0.0,67.90000200271606,67.90000200271606,89.52999711036682,0.0,89.52999711036682,89.52999711036682
savename=baselines; dataset=imagenet; mode=clip; model_size=ViT-L/14,73.3739972114563,0.0,73.3739972114563,73.3739972114563,93.35799813270569,0.0,93.35799813270569,93.35799813270569
savename=baselines; dataset=cub; mode=clip; model_size=ViT-L/14,62.27131485939026,0.0,62.27131485939026,62.27131485939026,92.07801222801208,0.0,92.07801222801208,92.07801222801208
savename=baselines; dataset=eurosat; mode=clip; model_size=ViT-L/14,56.029629707336426,0.0,56.029629707336426,56.029629707336426,92.51852035522461,0.0,92.51852035522461,92.51852035522461
savename=baselines; dataset=places365; mode=clip; model_size=ViT-L/14,40.46301245689392,0.0,40.46301245689392,40.46301245689392,68.18355917930603,0.0,68.18355917930603,68.18355917930603
savename=baselines; dataset=food101; mode=clip; model_size=ViT-L/14,92.55049228668213,0.0,92.55049228668213,92.55049228668213,99.24356341362,0.0,99.24356341362,99.24356341362
savename=baselines; dataset=pets; mode=clip; model_size=ViT-L/14,93.29517483711243,0.0,93.29517483711243,93.29517483711243,99.80921149253845,0.0,99.80921149253845,99.80921149253845
savename=baselines; dataset=dtd; mode=clip; model_size=ViT-L/14,52.8723418712616,0.0,52.8723418712616,52.8723418712616,79.2553186416626,0.0,79.2553186416626,79.2553186416626
savename=baselines; dataset=imagenetv2; mode=clip; model_size=ViT-B/32,54.739999771118164,0.0,54.739999771118164,54.739999771118164,81.99999928474426,0.0,81.99999928474426,81.99999928474426
savename=baselines; dataset=imagenet; mode=clip; model_size=ViT-B/32,61.99600100517273,0.0,61.99600100517273,61.99600100517273,87.6579999923706,0.0,87.6579999923706,87.6579999923706
savename=baselines; dataset=cub; mode=clip; model_size=ViT-B/32,51.27718448638916,0.0,51.27718448638916,51.27718448638916,83.44839215278625,0.0,83.44839215278625,83.44839215278625
savename=baselines; dataset=eurosat; mode=clip; model_size=ViT-B/32,40.76296389102936,0.0,40.76296389102936,40.76296389102936,90.7444417476654,0.0,90.7444417476654,90.7444417476654
savename=baselines; dataset=places365; mode=clip; model_size=ViT-B/32,39.12328779697418,0.0,39.12328779697418,39.12328779697418,69.72876787185669,0.0,69.72876787185669,69.72876787185669
savename=baselines; dataset=food101; mode=clip; model_size=ViT-B/32,82.59009718894958,0.0,82.59009718894958,82.59009718894958,96.87920808792114,0.0,96.87920808792114,96.87920808792114
savename=baselines; dataset=pets; mode=clip; model_size=ViT-B/32,85.06404757499695,0.0,85.06404757499695,85.06404757499695,97.35623002052307,0.0,97.35623002052307,97.35623002052307
savename=baselines; dataset=dtd; mode=clip; model_size=ViT-B/32,43.13829839229584,0.0,43.13829839229584,43.13829839229584,73.56383204460144,0.0,73.56383204460144,73.56383204460144
savename=baselines; dataset=imagenetv2; mode=clip; model_size=RN50,51.39999985694885,0.0,51.39999985694885,51.39999985694885,79.79000210762024,0.0,79.79000210762024,79.79000210762024
savename=baselines; dataset=imagenet; mode=clip; model_size=RN50,58.16599726676941,0.0,58.16599726676941,58.16599726676941,85.21599769592285,0.0,85.21599769592285,85.21599769592285
savename=baselines; dataset=cub; mode=clip; model_size=RN50,45.20193338394165,0.0,45.20193338394165,45.20193338394165,80.46254515647888,0.0,80.46254515647888,80.46254515647888
savename=baselines; dataset=eurosat; mode=clip; model_size=RN50,28.059259057044983,0.0,28.059259057044983,28.059259057044983,75.2740740776062,0.0,75.2740740776062,75.2740740776062
savename=baselines; dataset=places365; mode=clip; model_size=RN50,36.68767213821411,0.0,36.68767213821411,36.68767213821411,67.48219132423401,0.0,67.48219132423401,67.48219132423401
savename=baselines; dataset=food101; mode=clip; model_size=RN50,78.40791940689087,0.0,78.40791940689087,78.40791940689087,95.74257135391235,0.0,95.74257135391235,95.74257135391235
savename=baselines; dataset=pets; mode=clip; model_size=RN50,83.75579118728638,0.0,83.75579118728638,83.75579118728638,97.46524691581726,0.0,97.46524691581726,97.46524691581726
savename=baselines; dataset=dtd; mode=clip; model_size=RN50,38.51063847541809,0.0,38.51063847541809,38.51063847541809,70.47872543334961,0.0,70.47872543334961,70.47872543334961
