savename=baselines_gpt; dataset=imagenetv2; mode=gpt_descriptions; model_size=ViT-L/14,69.98000144958496,0.0,69.98000144958496,69.98000144958496,91.14000201225281,0.0,91.14000201225281,91.14000201225281
savename=baselines_gpt; dataset=imagenet; mode=gpt_descriptions; model_size=ViT-L/14,75.91999769210815,0.0,75.91999769210815,75.91999769210815,94.75399851799011,0.0,94.75399851799011,94.75399851799011
savename=baselines_gpt; dataset=cub; mode=gpt_descriptions; model_size=ViT-L/14,65.23990631103516,0.0,65.23990631103516,65.23990631103516,92.88919568061829,0.0,92.88919568061829,92.88919568061829
savename=baselines_gpt; dataset=eurosat; mode=gpt_descriptions; model_size=ViT-L/14,63.70370388031006,0.0,63.70370388031006,63.70370388031006,97.3111093044281,0.0,97.3111093044281,97.3111093044281
savename=baselines_gpt; dataset=places365; mode=gpt_descriptions; model_size=ViT-L/14,42.772603034973145,0.0,42.772603034973145,42.772603034973145,71.43835425376892,0.0,71.43835425376892,71.43835425376892
savename=baselines_gpt; dataset=food101; mode=gpt_descriptions; model_size=ViT-L/14,93.38613748550415,0.0,93.38613748550415,93.38613748550415,99.30692911148071,0.0,99.30692911148071,99.30692911148071
savename=baselines_gpt; dataset=pets; mode=gpt_descriptions; model_size=ViT-L/14,93.51322054862976,0.0,93.51322054862976,93.51322054862976,99.83646869659424,0.0,99.83646869659424,99.83646869659424
savename=baselines_gpt; dataset=dtd; mode=gpt_descriptions; model_size=ViT-L/14,55.15957474708557,0.0,55.15957474708557,55.15957474708557,80.21276593208313,0.0,80.21276593208313,80.21276593208313
savename=baselines_gpt; dataset=imagenetv2; mode=gpt_descriptions; model_size=ViT-B/32,56.25,0.0,56.25,56.25,83.12000036239624,0.0,83.12000036239624,83.12000036239624
savename=baselines_gpt; dataset=imagenet; mode=gpt_descriptions; model_size=ViT-B/32,63.66000175476074,0.0,63.66000175476074,63.66000175476074,88.88599872589111,0.0,88.88599872589111,88.88599872589111
savename=baselines_gpt; dataset=cub; mode=gpt_descriptions; model_size=ViT-B/32,53.62443923950195,0.0,53.62443923950195,53.62443923950195,85.26061177253723,0.0,85.26061177253723,85.26061177253723
savename=baselines_gpt; dataset=eurosat; mode=gpt_descriptions; model_size=ViT-B/32,41.25555455684662,0.0,41.25555455684662,41.25555455684662,86.67407631874084,0.0,86.67407631874084,86.67407631874084
savename=baselines_gpt; dataset=places365; mode=gpt_descriptions; model_size=ViT-B/32,41.646575927734375,0.0,41.646575927734375,41.646575927734375,72.56712317466736,0.0,72.56712317466736,72.56712317466736
savename=baselines_gpt; dataset=food101; mode=gpt_descriptions; model_size=ViT-B/32,83.04158449172974,0.0,83.04158449172974,83.04158449172974,96.90693020820618,0.0,96.90693020820618,96.90693020820618
savename=baselines_gpt; dataset=pets; mode=gpt_descriptions; model_size=ViT-B/32,85.2548360824585,0.0,85.2548360824585,85.2548360824585,99.23685193061829,0.0,99.23685193061829,99.23685193061829
savename=baselines_gpt; dataset=dtd; mode=gpt_descriptions; model_size=ViT-B/32,43.82978677749634,0.0,43.82978677749634,43.82978677749634,74.20212626457214,0.0,74.20212626457214,74.20212626457214
savename=baselines_gpt; dataset=imagenetv2; mode=gpt_descriptions; model_size=RN50,53.200000524520874,0.0,53.200000524520874,53.200000524520874,80.97000122070312,0.0,80.97000122070312,80.97000122070312
savename=baselines_gpt; dataset=imagenet; mode=gpt_descriptions; model_size=RN50,60.5679988861084,0.0,60.5679988861084,60.5679988861084,86.51800155639648,0.0,86.51800155639648,86.51800155639648
savename=baselines_gpt; dataset=cub; mode=gpt_descriptions; model_size=RN50,49.24059510231018,0.0,49.24059510231018,49.24059510231018,82.77528285980225,0.0,82.77528285980225,82.77528285980225
savename=baselines_gpt; dataset=eurosat; mode=gpt_descriptions; model_size=RN50,30.303704738616943,0.0,30.303704738616943,30.303704738616943,82.18148350715637,0.0,82.18148350715637,82.18148350715637
savename=baselines_gpt; dataset=places365; mode=gpt_descriptions; model_size=RN50,39.78630006313324,0.0,39.78630006313324,39.78630006313324,70.87123394012451,0.0,70.87123394012451,70.87123394012451
savename=baselines_gpt; dataset=food101; mode=gpt_descriptions; model_size=RN50,79.12079095840454,0.0,79.12079095840454,79.12079095840454,95.59603929519653,0.0,95.59603929519653,95.59603929519653
savename=baselines_gpt; dataset=pets; mode=gpt_descriptions; model_size=RN50,84.4099223613739,0.0,84.4099223613739,84.4099223613739,99.2095947265625,0.0,99.2095947265625,99.2095947265625
savename=baselines_gpt; dataset=dtd; mode=gpt_descriptions; model_size=RN50,41.861701011657715,0.0,41.861701011657715,41.861701011657715,70.63829898834229,0.0,70.63829898834229,70.63829898834229
